premise,choice1,choice2,question,difficulty,answer,label,split,input,output,task,option1,option2
The couple was happy to see each other.,They rested.,They kissed.,effect,,2,1,train,"the couple was happy to see each other.
what was the effect?
(a) they rested
(b) they kissed",they kissed,copa,they rested,they kissed
The man exhaled his breath.,He treaded water.,He went underwater.,cause,,1,0,train,"the man exhaled his breath.
what was the cause?
(a) he treaded water
(b) he went underwater",he treaded water,copa,he treaded water,he went underwater
The man saw an empty parking spot.,The parking meter expired.,He parallel parked on the street.,cause,,2,1,train,"the man saw an empty parking spot.
what was the cause?
(a) the parking meter expired
(b) he parallel parked on the street",he parallel parked on the street,copa,the parking meter expired,he parallel parked on the street
The clock chimed.,It was the top of the hour.,The hour seemed to drag on.,cause,,1,0,train,"the clock chimed.
what was the cause?
(a) it was the top of the hour
(b) the hour seemed to drag on",it was the top of the hour,copa,it was the top of the hour,the hour seemed to drag on
The driver slammed on his brakes.,The car radio shut off.,A deer appeared on the road.,cause,,2,1,train,"the driver slammed on his brakes.
what was the cause?
(a) the car radio shut off
(b) a deer appeared on the road",a deer appeared on the road,copa,the car radio shut off,a deer appeared on the road
I didn't have to do the dishes.,I finished eating.,I skipped dinner.,cause,,2,1,train,"i didn't have to do the dishes.
what was the cause?
(a) i finished eating
(b) i skipped dinner",i skipped dinner,copa,i finished eating,i skipped dinner
I slipped on the floor.,The tile was cracked.,The tile was wet.,cause,,2,1,train,"i slipped on the floor.
what was the cause?
(a) the tile was cracked
(b) the tile was wet",the tile was wet,copa,the tile was cracked,the tile was wet
I wanted to check the weather forecast.,I went for a walk.,I browsed the internet.,effect,,2,1,train,"i wanted to check the weather forecast.
what was the effect?
(a) i went for a walk
(b) i browsed the internet",i browsed the internet,copa,i went for a walk,i browsed the internet
The man felt obligated to attend the event.,He promised his friend that he would go.,He turned down his friend's invitation to go.,cause,,1,0,train,"the man felt obligated to attend the event.
what was the cause?
(a) he promised his friend that he would go
(b) he turned down his friends invitation to go",he promised his friend that he would go,copa,he promised his friend that he would go,he turned down his friends invitation to go
The finals were approaching.,The teams shook hands.,The teams got pumped up.,effect,,2,1,train,"the finals were approaching.
what was the effect?
(a) the teams shook hands
(b) the teams got pumped up",the teams got pumped up,copa,the teams shook hands,the teams got pumped up
The balloon expanded.,I blew into it.,I pricked it.,cause,,1,0,train,"the balloon expanded.
what was the cause?
(a) i blew into it
(b) i pricked it",i blew into it,copa,i blew into it,i pricked it
The scientist gained recognition.,She discovered a new species.,She received tenure at the university.,cause,,1,0,train,"the scientist gained recognition.
what was the cause?
(a) she discovered a new species
(b) she received tenure at the university",she discovered a new species,copa,she discovered a new species,she received tenure at the university
The man took notice of the woman.,He caught a whiff of her perfume.,He had his back turned to her.,cause,,1,0,train,"the man took notice of the woman.
what was the cause?
(a) he caught a whiff of her perfume
(b) he had his back turned to her",he caught a whiff of her perfume,copa,he caught a whiff of her perfume,he had his back turned to her
The boy murmured his reply to his mother.,His mother told him to whisper.,His mother told him to speak up.,effect,,2,1,train,"the boy murmured his reply to his mother.
what was the effect?
(a) his mother told him to whisper
(b) his mother told him to speak up",his mother told him to speak up,copa,his mother told him to whisper,his mother told him to speak up
The man's clothes were cheap.,He lost weight.,He bought them on sale.,cause,,2,1,train,"the man's clothes were cheap.
what was the cause?
(a) he lost weight
(b) he bought them on sale",he bought them on sale,copa,he lost weight,he bought them on sale
The woman invited her sister for coffee.,The woman looked like her sister.,The woman was close with her sister.,cause,,2,1,train,"the woman invited her sister for coffee.
what was the cause?
(a) the woman looked like her sister
(b) the woman was close with her sister",the woman was close with her sister,copa,the woman looked like her sister,the woman was close with her sister
The mother needed help looking after her children.,She sent the children to daycare.,She gave up custody of the children.,effect,,1,0,train,"the mother needed help looking after her children.
what was the effect?
(a) she sent the children to daycare
(b) she gave up custody of the children",she sent the children to daycare,copa,she sent the children to daycare,she gave up custody of the children
The dog barked.,The cat lounged on the couch.,A knock sounded at the door.,cause,,2,1,train,"the dog barked.
what was the cause?
(a) the cat lounged on the couch
(b) a knock sounded at the door",a knock sounded at the door,copa,the cat lounged on the couch,a knock sounded at the door
The desk was light.,I wiped the desk with a cloth.,I removed the books from the desk.,cause,,2,1,train,"the desk was light.
what was the cause?
(a) i wiped the desk with a cloth
(b) i removed the books from the desk",i removed the books from the desk,copa,i wiped the desk with a cloth,i removed the books from the desk
The man never made an error in his calculations.,His work was hasty.,He checked his work.,cause,,2,1,train,"the man never made an error in his calculations.
what was the cause?
(a) his work was hasty
(b) he checked his work",he checked his work,copa,his work was hasty,he checked his work
The boy communicated with his grandfather by writing.,His grandfather was deaf.,His grandfather was blind.,cause,,1,0,train,"the boy communicated with his grandfather by writing.
what was the cause?
(a) his grandfather was deaf
(b) his grandfather was blind",his grandfather was deaf,copa,his grandfather was deaf,his grandfather was blind
I drank a cup of coffee.,I nodded off to sleep.,My yawning ceased.,effect,,2,1,train,"i drank a cup of coffee.
what was the effect?
(a) i nodded off to sleep
(b) my yawning ceased",my yawning ceased,copa,i nodded off to sleep,my yawning ceased
The fugitive was shot by the police.,The police dropped the case.,The fugitive remained at large.,effect,,1,0,train,"the fugitive was shot by the police.
what was the effect?
(a) the police dropped the case
(b) the fugitive remained at large",the police dropped the case,copa,the police dropped the case,the fugitive remained at large
The police was hit by the suspect.,The suspect resisted arrest.,The police called for backup.,cause,,2,1,train,"the police was hit by the suspect.
what was the cause?
(a) the suspect resisted arrest
(b) the police called for backup",the police called for backup,copa,the suspect resisted arrest,the police called for backup
The boy found his sister.,They played hide and seek.,His sister tattled on him.,effect,,1,0,train,"the boy found his sister.
what was the effect?
(a) they played hide and seek
(b) his sister tattled on him",they played hide and seek,copa,they played hide and seek,his sister tattled on him
The woman was about to cook.,She took antibiotics.,She washed her hands.,effect,,2,1,train,"the woman was about to cook.
what was the effect?
(a) she took antibiotics
(b) she washed her hands",she washed her hands,copa,she took antibiotics,she washed her hands
The guests of the party hid behind the couch.,It was a birthday party.,It was a surprise party.,cause,,2,1,train,"the guests of the party hid behind the couch.
what was the cause?
(a) it was a birthday party
(b) it was a surprise party",it was a surprise party,copa,it was a birthday party,it was a surprise party
I poured water on my sleeping friend.,My friend awoke.,My friend snored.,effect,,1,0,train,"i poured water on my sleeping friend.
what was the effect?
(a) my friend awoke
(b) my friend snored",my friend awoke,copa,my friend awoke,my friend snored
I clumsily bumped into the stranger.,I ran away.,I apologized to him.,effect,,2,1,train,"i clumsily bumped into the stranger.
what was the effect?
(a) i ran away
(b) i apologized to him",i apologized to him,copa,i ran away,i apologized to him
The soldiers were concealed in the brush.,They were armed with rifles.,They wore camouflage uniforms.,cause,,2,1,train,"the soldiers were concealed in the brush.
what was the cause?
(a) they were armed with rifles
(b) they wore camouflage uniforms",they wore camouflage uniforms,copa,they were armed with rifles,they wore camouflage uniforms
I saw the stars.,It was a clear night.,It was late.,cause,,1,0,train,"i saw the stars.
what was the cause?
(a) it was a clear night
(b) it was late",it was a clear night,copa,it was a clear night,it was late
The investigators deemed the man's death a suicide.,He left a note.,He had children.,cause,,1,0,train,"the investigators deemed the man's death a suicide.
what was the cause?
(a) he left a note
(b) he had children",he left a note,copa,he left a note,he had children
The dog had lice.,The dog jumped up.,The dog scratched its fur.,effect,,2,1,train,"the dog had lice.
what was the effect?
(a) the dog jumped up
(b) the dog scratched its fur",the dog scratched its fur,copa,the dog jumped up,the dog scratched its fur
The company's profits started to level off.,It increased its marketing efforts for new products.,It moved its headquarters to a suburban location.,effect,,1,0,train,"the company's profits started to level off.
what was the effect?
(a) it increased its marketing efforts for new products
(b) it moved its headquarters to a suburban location",it increased its marketing efforts for new products,copa,it increased its marketing efforts for new products,it moved its headquarters to a suburban location
The child punched the stack of blocks.,The stack towered over the boy's head.,The blocks scattered all over the rug.,effect,,1,0,train,"the child punched the stack of blocks.
what was the effect?
(a) the stack towered over the boys head
(b) the blocks scattered all over the rug",the stack towered over the boys head,copa,the stack towered over the boys head,the blocks scattered all over the rug
The airline went bankrupt.,They cancelled my flight.,They offered me compensation.,effect,,1,0,train,"the airline went bankrupt.
what was the effect?
(a) they cancelled my flight
(b) they offered me compensation",they cancelled my flight,copa,they cancelled my flight,they offered me compensation
The competition ended.,The teams shook hands.,The teams got pumped up.,effect,,1,0,train,"the competition ended.
what was the effect?
(a) the teams shook hands
(b) the teams got pumped up",the teams shook hands,copa,the teams shook hands,the teams got pumped up
The man did not shave.,His stubble disappeared.,His stubble grew.,effect,,2,1,train,"the man did not shave.
what was the effect?
(a) his stubble disappeared
(b) his stubble grew",his stubble grew,copa,his stubble disappeared,his stubble grew
The celebrity took off her sunglasses.,She wanted to avoid recognition.,She wanted to thank her fans.,cause,,2,1,train,"the celebrity took off her sunglasses.
what was the cause?
(a) she wanted to avoid recognition
(b) she wanted to thank her fans",she wanted to thank her fans,copa,she wanted to avoid recognition,she wanted to thank her fans
The cook went to the market.,He ran out of onions.,He cut an onion.,cause,,1,0,train,"the cook went to the market.
what was the cause?
(a) he ran out of onions
(b) he cut an onion",he ran out of onions,copa,he ran out of onions,he cut an onion
My face dropped.,I was shocked.,I was unhappy.,cause,,2,1,train,"my face dropped.
what was the cause?
(a) i was shocked
(b) i was unhappy",i was unhappy,copa,i was shocked,i was unhappy
The police tortured the suspect.,They were looking for illegal drugs.,They were trying to elicit a confession.,cause,,2,1,train,"the police tortured the suspect.
what was the cause?
(a) they were looking for illegal drugs
(b) they were trying to elicit a confession",they were trying to elicit a confession,copa,they were looking for illegal drugs,they were trying to elicit a confession
The woman refused to visit her family.,She distrusted them.,She missed them.,cause,,1,0,train,"the woman refused to visit her family.
what was the cause?
(a) she distrusted them
(b) she missed them",she distrusted them,copa,she distrusted them,she missed them
The man felt cold while reading the newspaper.,He chuckled.,He sipped coffee.,effect,,2,1,train,"the man felt cold while reading the newspaper.
what was the effect?
(a) he chuckled
(b) he sipped coffee",he sipped coffee,copa,he chuckled,he sipped coffee
The team lost the game.,Their coach pumped them up.,Their best player was injured.,cause,,2,1,train,"the team lost the game.
what was the cause?
(a) their coach pumped them up
(b) their best player was injured",their best player was injured,copa,their coach pumped them up,their best player was injured
The boy lost sniffed the bar of soap.,The bar emitted a fragrance.,The bar was slippery.,cause,,1,0,train,"the boy lost sniffed the bar of soap.
what was the cause?
(a) the bar emitted a fragrance
(b) the bar was slippery",the bar emitted a fragrance,copa,the bar emitted a fragrance,the bar was slippery
The children had a toothache.,They ate popsicles.,They were hot.,cause,,1,0,train,"the children had a toothache.
what was the cause?
(a) they ate popsicles
(b) they were hot",they ate popsicles,copa,they ate popsicles,they were hot
